categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
bottle,train,good,000.png,ROI_OK,224,220,674,670,253,249,646,643,9112.4
bottle,train,good,001.png,ROI_OK,224,222,688,686,254,253,660,657,8915.3
bottle,train,good,002.png,ROI_OK,226,217,682,673,255,249,654,642,8928.4
bottle,train,good,003.png,ROI_OK,230,230,692,692,260,264,664,658,9289.9
bottle,train,good,004.png,ROI_OK,220,235,670,685,249,266,643,655,8998.5
bottle,train,good,005.png,ROI_OK,230,218,676,664,259,247,647,637,9564.9
bottle,train,good,006.png,ROI_OK,224,239,672,687,252,270,644,657,9910.4
bottle,train,good,007.png,ROI_OK,235,224,687,676,264,255,659,647,9537.9
bottle,train,good,008.png,ROI_OK,219,230,674,685,248,260,646,655,9519.7
bottle,train,good,009.png,ROI_OK,216,222,685,691,246,253,656,660,9595.8
bottle,train,good,010.png,ROI_OK,208,224,677,693,239,254,648,664,9191.0
bottle,train,good,011.png,ROI_OK,225,220,681,676,254,249,653,647,9109.4
bottle,train,good,012.png,ROI_OK,223,228,677,682,252,259,649,653,9639.4
bottle,train,good,013.png,ROI_OK,224,224,674,674,253,254,647,646,9333.6
bottle,train,good,014.png,ROI_OK,231,231,683,683,260,261,655,654,9374.7
bottle,train,good,015.png,ROI_OK,232,216,697,681,261,246,668,653,9556.4
bottle,train,good,016.png,ROI_OK,228,228,686,686,257,259,658,656,9395.3
bottle,train,good,017.png,ROI_OK,228,236,680,688,257,266,652,659,9255.4
bottle,train,good,018.png,ROI_OK,227,218,688,679,258,248,658,651,9581.9
bottle,train,good,019.png,ROI_OK,220,236,675,691,249,265,647,663,9468.8
bottle,train,good,020.png,ROI_OK,206,210,682,686,238,241,652,657,9099.7
bottle,train,good,021.png,ROI_OK,228,226,681,679,257,256,653,651,9733.8
bottle,train,good,022.png,ROI_OK,219,230,676,687,248,261,648,658,9553.9
bottle,train,good,023.png,ROI_OK,230,238,672,680,258,266,645,653,9275.8
bottle,train,good,024.png,ROI_OK,231,232,687,688,260,265,659,657,9674.5
bottle,train,good,025.png,ROI_OK,226,224,681,679,255,254,653,650,9651.2
bottle,train,good,026.png,ROI_OK,220,222,683,685,249,253,654,655,9102.1
bottle,train,good,027.png,ROI_OK,234,238,682,686,263,266,655,658,9611.5
bottle,train,good,028.png,ROI_OK,228,235,682,689,257,265,654,660,9492.7
bottle,train,good,029.png,ROI_OK,220,224,682,686,250,255,654,657,9041.2
bottle,train,good,030.png,ROI_OK,218,236,673,691,247,265,645,663,9588.8
bottle,train,good,031.png,ROI_OK,227,228,680,681,256,258,652,652,9778.1
bottle,train,good,032.png,ROI_OK,232,230,680,678,260,261,652,648,9178.6
bottle,train,good,033.png,ROI_OK,210,223,675,688,240,253,647,659,9435.4
bottle,train,good,034.png,ROI_OK,220,223,681,684,250,253,653,655,9584.5
bottle,train,good,035.png,ROI_OK,230,239,680,689,259,271,653,658,9116.7
bottle,train,good,036.png,ROI_OK,230,228,677,675,258,257,649,646,9461.8
bottle,train,good,037.png,ROI_OK,222,232,669,679,250,261,641,650,9691.0
bottle,train,good,038.png,ROI_OK,224,232,672,680,252,260,644,652,9060.2
bottle,train,good,039.png,ROI_OK,222,231,672,681,251,260,645,653,9432.5
bottle,train,good,040.png,ROI_OK,232,234,682,684,260,264,654,656,9610.1
bottle,train,good,041.png,ROI_OK,212,222,678,688,241,251,649,659,9025.7
bottle,train,good,042.png,ROI_OK,232,238,680,686,261,268,653,657,9480.8
bottle,train,good,043.png,ROI_OK,228,220,688,680,257,252,659,648,9836.8
bottle,train,good,044.png,ROI_OK,220,228,672,680,250,257,644,652,9355.6
bottle,train,good,045.png,ROI_OK,225,226,680,681,254,255,652,652,9270.1
bottle,train,good,046.png,ROI_OK,244,228,697,681,273,259,669,651,9617.0
bottle,train,good,047.png,ROI_OK,218,228,671,681,247,259,643,651,9230.6
bottle,train,good,048.png,ROI_OK,229,220,682,673,258,249,654,644,9256.8
bottle,train,good,049.png,ROI_OK,230,235,682,687,259,266,654,657,9582.3
bottle,train,good,050.png,ROI_OK,230,228,684,682,259,258,656,654,9320.9
bottle,train,good,051.png,ROI_OK,218,226,667,675,247,255,640,646,9244.5
bottle,train,good,052.png,ROI_OK,230,227,682,679,259,256,654,651,9745.3
bottle,train,good,053.png,ROI_OK,230,226,683,679,259,256,655,649,9425.8
bottle,train,good,054.png,ROI_OK,213,216,682,685,244,246,652,656,9166.6
bottle,train,good,055.png,ROI_OK,231,221,686,676,260,252,658,646,9730.8
bottle,train,good,056.png,ROI_OK,234,229,689,684,263,260,661,654,9448.9
bottle,train,good,057.png,ROI_OK,220,236,667,683,248,266,639,653,9138.9
bottle,train,good,058.png,ROI_OK,225,226,678,679,256,255,648,651,9649.0
bottle,train,good,059.png,ROI_OK,226,227,673,674,254,257,645,645,9528.7
bottle,train,good,060.png,ROI_OK,224,216,688,680,254,246,660,650,8990.8
bottle,train,good,061.png,ROI_OK,214,218,688,692,244,248,658,663,9542.3
bottle,train,good,062.png,ROI_OK,224,222,689,687,254,252,661,659,9494.0
