categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
cable,train,good,000.png,ROI_OK,338,154,719,535,366,178,692,511,8858.3
cable,train,good,001.png,ROI_OK,470,422,840,792,494,454,818,761,9220.7
cable,train,good,002.png,ROI_OK,16,22,1006,1012,79,87,945,947,8859.7
cable,train,good,003.png,ROI_OK,462,414,832,784,486,447,810,752,8590.5
cable,train,good,004.png,ROI_OK,312,153,720,561,338,196,695,519,9329.1
cable,train,good,005.png,ROI_OK,336,158,726,548,372,183,690,524,8637.6
cable,train,good,006.png,ROI_OK,304,144,712,552,330,181,687,516,9270.1
cable,train,good,007.png,ROI_OK,311,104,733,526,338,154,707,478,10052.7
cable,train,good,008.png,ROI_OK,346,128,712,494,371,151,687,471,9673.4
cable,train,good,009.png,ROI_OK,274,119,711,556,302,179,684,497,9834.2
cable,train,good,010.png,ROI_OK,340,108,723,491,364,134,699,466,10009.5
cable,train,good,011.png,ROI_OK,306,116,724,534,332,167,698,483,9308.8
cable,train,good,012.png,ROI_OK,430,396,843,809,456,445,817,760,8962.9
cable,train,good,013.png,ROI_OK,275,151,666,542,300,187,642,507,9017.9
cable,train,good,014.png,ROI_OK,286,159,693,566,313,185,666,541,9468.9
cable,train,good,015.png,ROI_OK,439,404,832,797,464,442,808,761,8894.2
cable,train,good,016.png,ROI_OK,460,386,870,796,498,412,832,771,8998.3
cable,train,good,017.png,ROI_OK,460,432,835,807,484,464,812,775,9086.7
cable,train,good,018.png,ROI_OK,476,401,854,779,514,425,818,756,9279.0
cable,train,good,019.png,ROI_OK,453,428,843,818,478,462,819,784,9994.9
cable,train,good,020.png,ROI_OK,12,9,1021,1018,76,86,959,942,9127.8
cable,train,good,021.png,ROI_OK,170,370,563,763,198,395,537,739,9318.0
cable,train,good,022.png,ROI_OK,485,416,853,784,515,440,824,762,8917.8
cable,train,good,023.png,ROI_OK,26,4,1017,995,94,66,949,933,9968.8
cable,train,good,024.png,ROI_OK,429,345,850,766,486,372,794,740,9595.3
cable,train,good,025.png,ROI_OK,444,370,862,788,494,396,814,762,9484.7
cable,train,good,026.png,ROI_OK,448,376,849,777,481,402,818,753,9646.4
cable,train,good,027.png,ROI_OK,314,174,712,572,346,200,681,548,9708.8
cable,train,good,028.png,ROI_OK,177,376,562,761,203,400,537,737,9292.7
cable,train,good,029.png,ROI_OK,452,394,843,785,488,419,807,761,9774.6
cable,train,good,030.png,ROI_OK,142,360,538,756,184,386,498,732,10188.2
cable,train,good,031.png,ROI_OK,200,394,601,795,226,430,577,759,8899.7
cable,train,good,032.png,ROI_OK,331,166,703,538,355,192,680,512,9125.0
cable,train,good,033.png,ROI_OK,336,148,722,534,367,173,691,511,9928.4
cable,train,good,034.png,ROI_OK,0,0,1023,1023,56,98,967,954,8974.3
cable,train,good,035.png,ROI_OK,346,164,722,540,370,193,699,513,9419.6
cable,train,good,036.png,ROI_OK,454,450,816,812,479,473,792,790,8816.6
cable,train,good,037.png,ROI_OK,460,388,853,781,499,413,814,757,9137.9
cable,train,good,038.png,ROI_OK,341,154,713,526,365,183,690,499,9504.9
cable,train,good,039.png,ROI_OK,0,0,1023,1023,73,90,983,950,8966.2
cable,train,good,040.png,ROI_OK,485,429,845,789,509,452,822,767,9495.9
cable,train,good,041.png,ROI_OK,482,408,848,774,506,433,826,751,9376.3
cable,train,good,042.png,ROI_OK,204,434,579,809,228,467,556,778,9096.0
cable,train,good,043.png,ROI_OK,475,438,839,802,504,461,811,779,9269.1
cable,train,good,044.png,ROI_OK,9,9,1023,1023,82,92,969,946,9061.2
cable,train,good,045.png,ROI_OK,173,376,554,757,199,401,529,734,9449.7
cable,train,good,046.png,ROI_OK,480,432,857,809,504,461,834,782,8853.9
cable,train,good,047.png,ROI_OK,478,432,848,802,502,464,826,772,9016.2
cable,train,good,048.png,ROI_OK,17,20,1002,1005,79,89,941,938,9533.4
cable,train,good,049.png,ROI_OK,465,438,832,805,493,462,805,783,9649.2
cable,train,good,050.png,ROI_OK,518,412,879,773,541,436,857,750,9169.2
cable,train,good,051.png,ROI_OK,494,430,859,795,520,454,835,773,8836.0
cable,train,good,052.png,ROI_OK,22,20,1005,1003,84,87,944,938,9440.9
cable,train,good,053.png,ROI_OK,30,16,1016,1002,100,78,948,941,9411.8
cable,train,good,054.png,ROI_OK,0,0,1023,1023,85,61,939,968,9242.7
cable,train,good,055.png,ROI_OK,514,414,882,782,540,438,856,760,9548.2
cable,train,good,056.png,ROI_OK,495,443,853,801,518,466,831,779,9533.7
cable,train,good,057.png,ROI_OK,342,154,714,526,367,178,689,503,9090.4
cable,train,good,058.png,ROI_OK,489,349,895,755,534,375,851,730,9301.3
cable,train,good,059.png,ROI_OK,456,400,840,784,493,425,804,761,9885.8
cable,train,good,060.png,ROI_OK,24,26,1002,1004,85,88,941,943,10231.3
cable,train,good,061.png,ROI_OK,446,398,832,784,472,423,806,761,8670.0
cable,train,good,062.png,ROI_OK,0,0,1010,1010,61,58,933,942,9345.4
cable,train,good,063.png,ROI_OK,500,410,885,795,529,434,856,771,9396.9
cable,train,good,064.png,ROI_OK,502,448,867,813,526,476,845,786,8741.8
cable,train,good,065.png,ROI_OK,432,384,837,789,458,427,812,746,9419.0
cable,train,good,066.png,ROI_OK,192,398,594,800,217,445,569,754,9064.4
cable,train,good,067.png,ROI_OK,336,132,718,514,362,156,693,490,9377.1
cable,train,good,068.png,ROI_OK,200,428,585,813,225,455,562,786,9433.1
cable,train,good,069.png,ROI_OK,189,392,578,781,215,417,553,757,9165.1
cable,train,good,070.png,ROI_OK,460,356,899,795,521,384,840,768,9582.9
cable,train,good,071.png,ROI_OK,320,168,742,590,367,195,697,564,8980.7
cable,train,good,072.png,ROI_OK,309,152,698,541,334,179,674,515,9342.1
cable,train,good,073.png,ROI_OK,8,10,1015,1017,71,75,952,952,9784.6
cable,train,good,074.png,ROI_OK,180,415,568,803,205,448,544,771,8120.2
cable,train,good,075.png,ROI_OK,313,137,707,531,354,162,667,507,9270.3
