categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
capsule,train,good,000.png,ROI_OK,22,11,991,980,83,360,931,632,10036.1
capsule,train,good,001.png,ROI_OK,22,8,992,978,83,359,932,627,9986.2
capsule,train,good,002.png,ROI_OK,3,0,999,996,72,360,943,636,11252.3
capsule,train,good,003.png,ROI_OK,22,12,991,981,83,360,931,633,11013.9
capsule,train,good,004.png,ROI_OK,18,9,993,984,80,362,933,632,9671.7
capsule,train,good,005.png,ROI_OK,18,8,996,986,79,361,935,634,10277.6
capsule,train,good,006.png,ROI_OK,24,14,988,978,85,361,928,631,9968.3
capsule,train,good,007.png,ROI_OK,20,10,994,984,81,361,933,634,9651.8
capsule,train,good,008.png,ROI_OK,20,10,994,984,81,361,933,634,9418.4
capsule,train,good,009.png,ROI_OK,20,9,993,982,81,361,932,631,9745.6
capsule,train,good,010.png,ROI_OK,20,10,993,983,82,362,933,633,10065.8
capsule,train,good,011.png,ROI_OK,18,8,994,984,80,361,934,633,10040.1
capsule,train,good,012.png,ROI_OK,18,8,990,980,80,358,930,631,9420.5
capsule,train,good,013.png,ROI_OK,18,8,995,985,80,361,935,633,9800.4
capsule,train,good,014.png,ROI_OK,12,4,998,990,74,363,937,632,10269.0
capsule,train,good,015.png,ROI_OK,0,0,999,999,71,359,945,633,10264.0
capsule,train,good,016.png,ROI_OK,0,0,999,999,70,359,945,633,10760.4
capsule,train,good,017.png,ROI_OK,13,4,999,990,76,360,939,636,9914.1
capsule,train,good,018.png,ROI_OK,14,2,999,987,76,358,938,632,10061.8
capsule,train,good,019.png,ROI_OK,14,2,999,987,76,360,938,630,10047.7
capsule,train,good,020.png,ROI_OK,18,8,995,985,79,361,934,632,10443.0
capsule,train,good,021.png,ROI_OK,22,13,990,981,83,362,930,633,9656.4
capsule,train,good,022.png,ROI_OK,22,13,990,981,83,361,930,634,9522.5
capsule,train,good,023.png,ROI_OK,20,9,992,981,81,360,931,631,10151.4
capsule,train,good,024.png,ROI_OK,20,10,993,983,81,361,932,632,10236.0
capsule,train,good,025.png,ROI_OK,20,9,996,985,81,364,935,631,9895.5
capsule,train,good,026.png,ROI_OK,21,10,991,980,82,360,931,631,9596.7
capsule,train,good,027.png,ROI_OK,20,10,995,985,81,363,934,634,9974.3
capsule,train,good,028.png,ROI_OK,11,2,999,990,76,361,940,631,10774.2
capsule,train,good,029.png,ROI_OK,11,2,999,990,75,361,939,632,11074.8
