categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
hazelnut,train,good,000.png,ROI_OK,94,98,925,929,151,151,870,878,8931.4
hazelnut,train,good,001.png,ROI_OK,94,111,918,935,156,163,856,884,8977.1
hazelnut,train,good,002.png,ROI_OK,142,146,882,886,201,193,823,840,8355.4
hazelnut,train,good,003.png,ROI_OK,134,144,890,900,182,216,843,829,8437.9
hazelnut,train,good,004.png,ROI_OK,141,142,882,883,188,203,836,823,9173.2
hazelnut,train,good,005.png,ROI_OK,144,154,878,888,191,200,833,842,8683.7
hazelnut,train,good,006.png,ROI_OK,138,140,888,890,188,188,838,844,8988.8
hazelnut,train,good,007.png,ROI_OK,138,142,887,891,187,189,838,844,9129.5
hazelnut,train,good,008.png,ROI_OK,94,96,928,930,195,148,829,878,8885.3
hazelnut,train,good,009.png,ROI_OK,120,125,904,909,169,204,855,831,8778.7
hazelnut,train,good,010.png,ROI_OK,101,106,927,932,153,167,876,872,9286.7
hazelnut,train,good,011.png,ROI_OK,122,122,903,903,171,187,854,839,8300.6
hazelnut,train,good,012.png,ROI_OK,103,113,924,934,155,193,873,855,8969.2
hazelnut,train,good,013.png,ROI_OK,96,99,927,930,149,182,876,848,9229.1
hazelnut,train,good,014.png,ROI_OK,108,108,917,917,174,159,853,867,8916.2
hazelnut,train,good,015.png,ROI_OK,98,98,927,927,150,166,875,861,8535.2
hazelnut,train,good,016.png,ROI_OK,82,88,942,948,137,149,889,888,9272.2
hazelnut,train,good,017.png,ROI_OK,136,142,887,893,207,189,818,846,8723.4
hazelnut,train,good,018.png,ROI_OK,136,138,893,895,184,198,846,836,8857.5
hazelnut,train,good,019.png,ROI_OK,132,138,889,895,199,186,824,848,9206.7
hazelnut,train,good,020.png,ROI_OK,107,114,916,923,162,165,862,873,9072.0
hazelnut,train,good,021.png,ROI_OK,85,86,941,942,139,186,888,844,8878.3
hazelnut,train,good,022.png,ROI_OK,109,109,917,917,160,162,867,865,9455.1
hazelnut,train,good,023.png,ROI_OK,105,106,920,921,171,158,855,871,9143.9
hazelnut,train,good,024.png,ROI_OK,132,136,894,898,183,184,844,851,8753.1
hazelnut,train,good,025.png,ROI_OK,84,86,939,941,138,207,886,820,8945.9
hazelnut,train,good,026.png,ROI_OK,117,118,907,908,185,168,840,859,8797.2
hazelnut,train,good,027.png,ROI_OK,80,82,944,946,180,136,846,892,8937.8
hazelnut,train,good,028.png,ROI_OK,115,118,906,909,174,168,848,860,9153.2
hazelnut,train,good,029.png,ROI_OK,115,116,909,910,165,191,860,835,9118.0
hazelnut,train,good,030.png,ROI_OK,116,121,906,911,198,171,826,862,8744.6
hazelnut,train,good,031.png,ROI_OK,113,118,904,909,163,180,855,849,9149.6
hazelnut,train,good,032.png,ROI_OK,113,118,911,916,189,168,836,866,8978.2
