categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
metal_nut,train,good,000.png,ROI_OK,12,14,690,692,55,57,648,650,9150.8
metal_nut,train,good,001.png,ROI_OK,20,20,681,681,62,62,639,640,9647.8
metal_nut,train,good,002.png,ROI_OK,26,30,671,675,67,71,631,634,9865.4
metal_nut,train,good,003.png,ROI_OK,217,223,479,485,234,242,463,467,9606.3
metal_nut,train,good,004.png,ROI_OK,220,222,478,480,236,242,462,461,9479.9
metal_nut,train,good,005.png,ROI_OK,0,4,695,699,45,49,652,657,9399.0
metal_nut,train,good,006.png,ROI_OK,0,1,698,699,41,49,652,660,8922.9
metal_nut,train,good,007.png,ROI_OK,0,1,697,698,44,45,654,655,9120.0
metal_nut,train,good,008.png,ROI_OK,14,18,682,686,57,60,641,644,9430.2
metal_nut,train,good,009.png,ROI_OK,0,2,696,698,43,46,651,655,9161.2
metal_nut,train,good,010.png,ROI_OK,2,6,695,699,49,50,649,656,9291.0
metal_nut,train,good,011.png,ROI_OK,0,1,698,699,43,49,653,660,9708.9
metal_nut,train,good,012.png,ROI_OK,11,14,683,686,54,57,641,645,9439.0
metal_nut,train,good,013.png,ROI_OK,0,7,692,699,44,147,649,656,9191.0
metal_nut,train,good,014.png,ROI_OK,24,28,672,676,67,69,631,636,9463.2
metal_nut,train,good,015.png,ROI_OK,27,27,674,674,68,68,634,634,9446.2
metal_nut,train,good,016.png,ROI_OK,26,29,671,674,68,70,631,634,9201.2
metal_nut,train,good,017.png,ROI_OK,220,228,476,484,237,248,461,466,9409.7
metal_nut,train,good,018.png,ROI_OK,0,2,697,699,43,48,653,658,9536.9
metal_nut,train,good,019.png,ROI_OK,2,6,691,695,47,49,648,652,9228.3
metal_nut,train,good,020.png,ROI_OK,12,18,680,686,55,60,638,644,9263.2
metal_nut,train,good,021.png,ROI_OK,220,233,467,480,237,249,451,465,9339.3
metal_nut,train,good,022.png,ROI_OK,0,4,695,699,39,50,646,658,9237.9
metal_nut,train,good,023.png,ROI_OK,0,1,698,699,43,46,653,657,9273.0
metal_nut,train,good,024.png,ROI_OK,9,10,691,692,52,53,649,650,9549.9
metal_nut,train,good,025.png,ROI_OK,220,224,475,479,236,241,459,464,9423.7
metal_nut,train,good,026.png,ROI_OK,15,18,686,689,58,61,644,648,9215.8
metal_nut,train,good,027.png,ROI_OK,3,5,696,698,48,49,652,655,9526.1
metal_nut,train,good,028.png,ROI_OK,220,226,476,482,236,243,460,465,9469.1
metal_nut,train,good,029.png,ROI_OK,214,224,478,488,231,244,462,470,9213.7
metal_nut,train,good,030.png,ROI_OK,0,1,698,699,42,47,652,658,9432.0
metal_nut,train,good,031.png,ROI_OK,0,1,698,699,46,49,654,660,9529.6
metal_nut,train,good,032.png,ROI_OK,0,3,696,699,44,48,653,657,9288.4
metal_nut,train,good,033.png,ROI_OK,222,225,482,485,239,242,466,469,9210.1
metal_nut,train,good,034.png,ROI_OK,0,3,696,699,44,49,653,658,9491.7
metal_nut,train,good,035.png,ROI_OK,0,2,697,699,45,49,654,659,9351.5
metal_nut,train,good,036.png,ROI_OK,6,13,687,694,49,56,644,652,9185.0
metal_nut,train,good,037.png,ROI_OK,218,228,475,485,235,246,460,468,9591.9
metal_nut,train,good,038.png,ROI_OK,1,3,697,699,45,49,654,658,9688.8
metal_nut,train,good,039.png,ROI_OK,0,1,698,699,43,46,652,657,9295.2
metal_nut,train,good,040.png,ROI_OK,0,2,697,699,43,47,653,657,9365.2
metal_nut,train,good,041.png,ROI_OK,1,2,698,699,45,48,655,658,9612.8
metal_nut,train,good,042.png,ROI_OK,0,3,696,699,43,49,650,658,9273.2
metal_nut,train,good,043.png,ROI_OK,1,2,698,699,45,47,655,657,9188.7
metal_nut,train,good,044.png,ROI_OK,0,2,696,698,43,46,652,655,9699.4
metal_nut,train,good,045.png,ROI_OK,2,2,699,699,46,47,655,657,9511.4
metal_nut,train,good,046.png,ROI_OK,0,1,698,699,45,45,655,656,9344.2
metal_nut,train,good,047.png,ROI_OK,4,6,692,694,48,50,648,652,9538.5
metal_nut,train,good,048.png,ROI_OK,220,229,468,477,236,246,453,461,9595.5
metal_nut,train,good,049.png,ROI_OK,2,5,694,697,47,49,651,654,9233.0
metal_nut,train,good,050.png,ROI_OK,1,1,698,698,45,45,655,655,9290.4
metal_nut,train,good,051.png,ROI_OK,6,11,693,698,49,55,650,655,9525.0
metal_nut,train,good,052.png,ROI_OK,0,2,696,698,44,46,653,655,9398.0
metal_nut,train,good,053.png,ROI_OK,0,0,699,699,41,50,653,664,9214.4
metal_nut,train,good,054.png,ROI_OK,0,2,696,698,44,46,653,655,9653.7
metal_nut,train,good,055.png,ROI_OK,218,223,479,484,235,241,463,467,9521.7
metal_nut,train,good,056.png,ROI_OK,20,24,672,676,63,66,631,636,9004.2
metal_nut,train,good,057.png,ROI_OK,0,2,697,699,45,48,653,658,9387.5
metal_nut,train,good,058.png,ROI_OK,216,225,477,486,233,243,461,469,9543.8
metal_nut,train,good,059.png,ROI_OK,18,20,680,682,61,62,639,641,9134.4
metal_nut,train,good,060.png,ROI_OK,14,16,684,686,56,60,642,643,9175.6
metal_nut,train,good,061.png,ROI_OK,12,18,683,689,55,61,642,647,9379.4
metal_nut,train,good,062.png,ROI_OK,0,3,696,699,44,47,652,656,9163.3
metal_nut,train,good,063.png,ROI_OK,1,4,695,698,45,49,652,655,9267.3
metal_nut,train,good,064.png,ROI_OK,6,8,692,694,52,52,648,652,9532.1
metal_nut,train,good,065.png,ROI_OK,25,28,671,674,66,69,631,633,9484.0
metal_nut,train,good,066.png,ROI_OK,0,2,697,699,43,47,652,657,9173.3
metal_nut,train,good,067.png,ROI_OK,0,2,697,699,44,46,570,656,9099.6
metal_nut,train,good,068.png,ROI_OK,215,224,476,485,233,241,459,469,9567.0
metal_nut,train,good,069.png,ROI_OK,23,27,672,676,64,68,632,636,9020.7
metal_nut,train,good,070.png,ROI_OK,16,20,682,686,58,62,641,645,9095.8
metal_nut,train,good,071.png,ROI_OK,4,8,691,695,49,51,648,652,9530.8
metal_nut,train,good,072.png,ROI_OK,222,226,477,481,238,245,461,464,9249.1
metal_nut,train,good,073.png,ROI_OK,0,1,698,699,44,48,653,659,9190.3
metal_nut,train,good,074.png,ROI_OK,1,3,696,698,45,47,653,655,9393.7
metal_nut,train,good,075.png,ROI_OK,222,224,480,482,238,242,464,466,9399.9
metal_nut,train,good,076.png,ROI_OK,217,218,483,484,234,235,467,467,9100.3
metal_nut,train,good,077.png,ROI_OK,0,3,696,699,45,47,653,656,9291.5
metal_nut,train,good,078.png,ROI_OK,15,18,678,681,58,60,636,640,9413.3
metal_nut,train,good,079.png,ROI_OK,0,4,695,699,43,51,650,659,9006.7
metal_nut,train,good,080.png,ROI_OK,7,11,689,693,50,55,647,650,9361.5
metal_nut,train,good,081.png,ROI_OK,0,4,695,699,43,49,650,657,9502.8
metal_nut,train,good,082.png,ROI_OK,218,222,479,483,235,241,463,465,9336.6
metal_nut,train,good,083.png,ROI_OK,222,224,479,481,238,242,463,465,9237.4
metal_nut,train,good,084.png,ROI_OK,25,26,673,674,66,70,633,632,9663.8
metal_nut,train,good,085.png,ROI_OK,0,1,698,699,43,49,654,659,9418.1
metal_nut,train,good,086.png,ROI_OK,219,224,480,485,236,242,464,468,9202.2
metal_nut,train,good,087.png,ROI_OK,218,223,478,483,236,240,461,467,9549.6
metal_nut,train,good,088.png,ROI_OK,6,12,692,698,51,55,649,655,9176.9
metal_nut,train,good,089.png,ROI_OK,8,12,689,693,51,56,647,651,9179.5
