categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
pill,train,good,000.png,ROI_OK,3,4,796,797,53,163,747,638,8465.5
pill,train,good,001.png,ROI_OK,3,4,796,797,53,163,747,639,8161.5
pill,train,good,002.png,ROI_OK,4,4,796,796,54,164,747,638,8442.5
pill,train,good,003.png,ROI_OK,5,5,796,796,55,164,747,638,8584.4
pill,train,good,004.png,ROI_OK,3,3,797,797,53,164,748,637,8470.1
pill,train,good,005.png,ROI_OK,5,5,796,796,55,164,747,638,8807.4
pill,train,good,006.png,ROI_OK,3,4,796,797,53,164,747,637,8931.5
pill,train,good,007.png,ROI_OK,4,4,796,796,54,164,747,636,8768.1
pill,train,good,008.png,ROI_OK,4,4,797,797,54,164,748,638,9045.0
pill,train,good,009.png,ROI_OK,4,4,796,796,54,164,747,638,9202.5
pill,train,good,010.png,ROI_OK,3,2,797,796,53,163,748,637,8962.0
pill,train,good,011.png,ROI_OK,4,4,796,796,54,163,747,637,9269.4
pill,train,good,012.png,ROI_OK,3,4,796,797,53,163,747,639,9518.3
pill,train,good,013.png,ROI_OK,4,6,797,799,54,161,748,745,9463.7
pill,train,good,014.png,ROI_OK,3,4,796,797,53,163,747,638,9475.3
pill,train,good,015.png,ROI_OK,3,4,795,796,53,164,746,637,9822.8
pill,train,good,016.png,ROI_OK,3,3,796,796,53,164,747,636,9841.9
pill,train,good,017.png,ROI_OK,3,4,796,797,53,165,747,638,9396.2
pill,train,good,018.png,ROI_OK,3,3,796,796,53,163,747,637,9445.3
pill,train,good,019.png,ROI_OK,4,4,797,797,54,164,748,638,9656.4
pill,train,good,020.png,ROI_OK,3,4,797,798,53,164,748,639,9420.4
pill,train,good,021.png,ROI_OK,2,3,798,799,53,164,749,639,9324.0
pill,train,good,022.png,ROI_OK,2,2,796,796,52,161,747,638,9642.6
pill,train,good,023.png,ROI_OK,2,3,798,799,52,163,748,640,9700.6
pill,train,good,024.png,ROI_OK,4,4,797,797,54,162,748,639,9435.8
pill,train,good,025.png,ROI_OK,3,4,795,796,53,164,746,638,9488.2
pill,train,good,026.png,ROI_OK,3,4,797,798,53,163,748,639,9739.6
pill,train,good,027.png,ROI_OK,3,6,796,799,53,163,747,748,9640.5
pill,train,good,028.png,ROI_OK,4,4,796,796,54,164,747,638,9338.1
pill,train,good,029.png,ROI_OK,3,4,796,797,53,163,747,638,9492.6
pill,train,good,030.png,ROI_OK,4,5,795,796,54,164,746,638,9636.9
pill,train,good,031.png,ROI_OK,3,2,797,796,53,162,748,638,9410.8
pill,train,good,032.png,ROI_OK,4,4,796,796,54,164,747,637,9383.8
pill,train,good,033.png,ROI_OK,4,4,796,796,54,163,747,638,9751.2
pill,train,good,034.png,ROI_OK,2,2,798,798,52,164,748,637,9733.6
pill,train,good,035.png,ROI_OK,4,4,796,796,54,163,747,638,9466.1
pill,train,good,036.png,ROI_OK,4,5,796,797,54,164,747,639,9573.7
pill,train,good,037.png,ROI_OK,3,4,795,796,53,164,746,638,9695.0
pill,train,good,038.png,ROI_OK,2,4,796,798,52,164,747,639,9528.0
pill,train,good,039.png,ROI_OK,4,4,796,796,54,164,747,637,9363.1
pill,train,good,040.png,ROI_OK,3,4,796,797,53,162,747,639,9598.2
pill,train,good,041.png,ROI_OK,3,4,796,797,53,163,747,638,9686.6
pill,train,good,042.png,ROI_OK,3,4,796,797,53,164,747,639,9445.2
pill,train,good,043.png,ROI_OK,5,5,797,797,55,164,748,639,9453.1
pill,train,good,044.png,ROI_OK,4,4,796,796,54,164,747,637,9629.4
pill,train,good,045.png,ROI_OK,3,5,797,799,53,162,748,757,9697.7
pill,train,good,046.png,ROI_OK,2,3,798,799,52,164,748,639,9401.7
pill,train,good,047.png,ROI_OK,4,5,796,797,54,164,747,639,9579.9
pill,train,good,048.png,ROI_OK,4,4,796,796,54,164,747,638,9671.7
pill,train,good,049.png,ROI_OK,3,4,796,797,53,164,747,637,9515.2
pill,train,good,050.png,ROI_OK,4,4,796,796,54,163,747,638,9406.3
pill,train,good,051.png,ROI_OK,4,5,795,796,54,164,746,638,9636.8
pill,train,good,052.png,ROI_OK,3,4,795,796,53,164,746,637,9683.7
pill,train,good,053.png,ROI_OK,4,4,796,796,54,164,747,638,9415.9
pill,train,good,054.png,ROI_OK,5,4,796,795,55,164,747,636,9494.4
pill,train,good,055.png,ROI_OK,4,4,796,796,54,164,747,637,9721.3
pill,train,good,056.png,ROI_OK,5,5,796,796,55,164,747,638,9636.7
pill,train,good,057.png,ROI_OK,3,4,796,797,53,163,747,639,9500.2
pill,train,good,058.png,ROI_OK,3,6,796,799,53,163,747,742,9540.9
pill,train,good,059.png,ROI_OK,3,3,796,796,53,163,747,637,9626.6
pill,train,good,060.png,ROI_OK,4,4,796,796,54,163,747,637,9394.2
pill,train,good,061.png,ROI_OK,3,4,796,797,53,162,747,640,9469.8
pill,train,good,062.png,ROI_OK,3,4,796,797,53,164,747,637,9616.9
pill,train,good,063.png,ROI_OK,3,3,796,796,53,164,747,636,9598.3
pill,train,good,064.png,ROI_OK,4,4,797,797,54,164,748,637,9390.0
pill,train,good,065.png,ROI_OK,4,4,797,797,54,164,748,639,9526.2
pill,train,good,066.png,ROI_OK,3,4,796,797,53,164,747,637,9761.8
pill,train,good,067.png,ROI_OK,5,4,796,795,55,164,747,637,9616.3
pill,train,good,068.png,ROI_OK,5,4,796,795,55,164,747,637,9464.7
