categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
screw,train,good,000.png,ROI_OK,74,74,948,948,173,129,851,894,7793.1
screw,train,good,001.png,ROI_OK,2,4,1018,1020,66,303,955,721,9192.4
screw,train,good,002.png,ROI_OK,0,0,1023,1023,371,58,654,962,7895.2
screw,train,good,003.png,ROI_OK,58,56,967,965,115,189,910,834,8156.8
screw,train,good,004.png,ROI_OK,0,0,1023,1023,373,60,651,964,8191.1
screw,train,good,005.png,ROI_OK,11,8,1012,1009,74,277,950,742,8679.0
screw,train,good,006.png,ROI_OK,0,0,1023,1023,57,366,959,658,9304.0
screw,train,good,007.png,ROI_OK,32,33,990,991,93,229,931,796,9504.4
screw,train,good,008.png,ROI_OK,0,0,1023,1023,61,338,965,683,9379.5
screw,train,good,009.png,ROI_OK,36,35,988,987,96,221,929,802,8825.2
screw,train,good,010.png,ROI_OK,32,31,991,990,93,224,932,798,9148.5
screw,train,good,011.png,ROI_OK,35,34,988,987,95,223,929,799,8925.8
screw,train,good,012.png,ROI_OK,72,70,952,950,174,126,850,896,8087.6
screw,train,good,013.png,ROI_OK,54,55,967,968,112,198,911,826,9091.8
screw,train,good,014.png,ROI_OK,24,24,996,996,86,238,936,784,9022.4
screw,train,good,015.png,ROI_OK,147,87,1018,958,202,454,964,592,9288.7
screw,train,good,016.png,ROI_OK,46,46,975,975,105,202,918,820,8770.4
screw,train,good,017.png,ROI_OK,57,56,966,965,194,114,830,909,8120.2
screw,train,good,018.png,ROI_OK,0,0,1023,1023,59,371,965,652,9873.5
screw,train,good,019.png,ROI_OK,37,36,986,985,97,221,927,802,8787.9
screw,train,good,020.png,ROI_OK,82,82,942,942,164,136,860,888,8405.6
screw,train,good,021.png,ROI_OK,8,8,1014,1014,72,295,952,728,9001.0
screw,train,good,022.png,ROI_OK,4,3,1018,1017,68,287,955,734,9422.2
screw,train,good,023.png,ROI_OK,0,0,1023,1023,344,58,680,964,7952.5
screw,train,good,024.png,ROI_OK,82,82,939,939,136,162,886,861,8838.5
screw,train,good,025.png,ROI_OK,92,92,931,931,151,145,872,879,8973.1
screw,train,good,026.png,ROI_OK,0,0,1023,1023,63,326,961,696,8932.1
screw,train,good,027.png,ROI_OK,59,58,965,964,116,188,909,836,8430.6
screw,train,good,028.png,ROI_OK,76,76,947,947,131,171,893,854,8574.6
screw,train,good,029.png,ROI_OK,0,0,1023,1023,59,338,963,687,8911.5
screw,train,good,030.png,ROI_OK,0,0,1023,1023,63,331,962,691,9317.3
screw,train,good,031.png,ROI_OK,38,37,986,985,220,97,805,926,8405.4
screw,train,good,032.png,ROI_OK,26,24,999,997,242,86,783,937,8146.2
screw,train,good,033.png,ROI_OK,0,0,1023,1023,361,55,667,968,8404.8
screw,train,good,034.png,ROI_OK,8,8,1013,1013,72,272,951,751,9133.9
screw,train,good,035.png,ROI_OK,18,15,1009,1006,80,266,947,756,8538.0
screw,train,good,036.png,ROI_OK,0,0,1023,1023,334,57,689,966,8380.2
screw,train,good,037.png,ROI_OK,10,8,1017,1015,294,71,733,952,8055.0
screw,train,good,038.png,ROI_OK,75,74,949,948,170,129,855,894,8349.9
screw,train,good,039.png,ROI_OK,12,11,1013,1012,278,74,747,950,8426.0
screw,train,good,040.png,ROI_OK,16,14,1008,1006,272,76,752,944,8049.8
screw,train,good,041.png,ROI_OK,0,0,1023,1023,338,61,686,964,8280.1
screw,train,good,042.png,ROI_OK,45,45,977,977,104,209,919,814,8911.0
screw,train,good,043.png,ROI_OK,48,46,977,975,206,105,819,918,8148.7
screw,train,good,044.png,ROI_OK,37,36,986,985,97,217,927,805,9091.9
screw,train,good,045.png,ROI_OK,0,0,1023,1023,364,58,663,964,8015.0
screw,train,good,046.png,ROI_OK,0,0,1023,1023,59,372,966,651,9936.6
screw,train,good,047.png,ROI_OK,0,0,1023,1023,371,57,653,963,8253.2
screw,train,good,048.png,ROI_OK,21,22,1001,1002,83,245,940,779,9002.3
screw,train,good,049.png,ROI_OK,0,0,1023,1023,365,57,660,964,8024.4
screw,train,good,050.png,ROI_OK,91,91,931,931,153,144,870,879,8861.5
screw,train,good,051.png,ROI_OK,34,34,987,987,94,224,928,798,8419.3
screw,train,good,052.png,ROI_OK,75,73,947,945,130,170,893,849,8615.0
screw,train,good,053.png,ROI_OK,76,75,948,947,169,130,855,893,8556.3
screw,train,good,054.png,ROI_OK,0,0,1023,1023,59,363,966,662,9003.3
screw,train,good,055.png,ROI_OK,0,0,1023,1023,64,325,959,696,9408.6
screw,train,good,056.png,ROI_OK,8,10,1012,1014,72,277,950,747,9357.5
screw,train,good,057.png,ROI_OK,52,52,970,970,198,110,826,913,8086.2
screw,train,good,058.png,ROI_OK,46,45,978,977,206,104,818,919,8386.4
screw,train,good,059.png,ROI_OK,0,0,1023,1023,60,357,965,667,10582.6
screw,train,good,060.png,ROI_OK,86,84,936,934,139,156,883,864,8250.7
screw,train,good,061.png,ROI_OK,11,11,1012,1012,274,74,750,950,8274.3
screw,train,good,062.png,ROI_OK,91,90,933,932,155,143,870,880,8720.1
screw,train,good,063.png,ROI_OK,18,18,1004,1004,80,257,943,766,8799.9
screw,train,good,064.png,ROI_OK,0,0,1023,1023,354,59,668,963,8279.8
screw,train,good,065.png,ROI_OK,14,14,1007,1007,76,265,945,758,9052.8
screw,train,good,066.png,ROI_OK,0,0,1023,1023,371,54,652,969,7925.6
screw,train,good,067.png,ROI_OK,51,49,973,971,203,107,822,914,8538.2
screw,train,good,068.png,ROI_OK,0,0,1023,1023,373,58,651,966,7971.1
screw,train,good,069.png,ROI_OK,21,20,1003,1002,83,252,942,771,9038.0
screw,train,good,070.png,ROI_OK,59,59,963,963,116,188,907,835,8983.9
screw,train,good,071.png,ROI_OK,38,37,986,985,225,97,799,926,8091.0
screw,train,good,072.png,ROI_OK,42,42,980,980,101,216,922,808,9197.6
screw,train,good,073.png,ROI_OK,10,10,1011,1011,73,288,949,735,9174.5
screw,train,good,074.png,ROI_OK,0,0,1023,1023,372,58,651,960,8040.5
screw,train,good,075.png,ROI_OK,0,0,1023,1023,61,373,964,652,9400.5
screw,train,good,076.png,ROI_OK,19,20,1003,1004,81,257,942,767,9522.0
screw,train,good,077.png,ROI_OK,0,0,1023,1023,346,59,676,963,7912.8
screw,train,good,078.png,ROI_OK,11,12,1011,1012,74,261,949,764,9227.4
screw,train,good,079.png,ROI_OK,2,2,1020,1020,308,66,716,957,8338.7
screw,train,good,080.png,ROI_OK,80,81,942,943,135,167,889,858,8175.0
screw,train,good,081.png,ROI_OK,20,22,998,1000,82,250,938,772,9319.7
screw,train,good,082.png,ROI_OK,18,19,1003,1004,260,81,763,943,8118.9
screw,train,good,083.png,ROI_OK,14,14,1008,1008,77,273,947,749,8654.5
screw,train,good,084.png,ROI_OK,22,20,1002,1000,252,82,772,939,8401.8
screw,train,good,085.png,ROI_OK,20,19,1002,1001,82,251,941,770,8528.5
screw,train,good,086.png,ROI_OK,77,76,946,945,132,168,892,855,8986.6
screw,train,good,087.png,ROI_OK,0,0,1023,1023,372,59,653,965,8250.2
screw,train,good,088.png,ROI_OK,0,0,1023,1023,61,345,964,678,9587.5
screw,train,good,089.png,ROI_OK,92,92,931,931,145,149,879,875,8702.7
screw,train,good,090.png,ROI_OK,0,0,1023,1023,335,60,688,963,8469.4
screw,train,good,091.png,ROI_OK,5,4,1018,1017,291,68,733,954,8207.4
screw,train,good,092.png,ROI_OK,0,0,1023,1023,58,372,965,651,9457.7
screw,train,good,093.png,ROI_OK,0,0,1023,1023,372,60,652,963,8303.3
screw,train,good,094.png,ROI_OK,34,34,988,988,94,226,929,797,8768.1
screw,train,good,095.png,ROI_OK,85,83,939,937,139,162,886,859,8574.5
screw,train,good,096.png,ROI_OK,0,0,1023,1023,372,59,652,964,8123.7
screw,train,good,097.png,ROI_OK,58,56,966,964,191,114,833,908,8269.9
