categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
transistor,train,good,000.png,ROI_OK,264,111,749,596,297,142,718,566,7532.5
transistor,train,good,001.png,ROI_OK,282,96,772,586,313,131,742,552,7594.7
transistor,train,good,002.png,ROI_OK,240,138,722,620,274,169,690,591,7761.3
transistor,train,good,003.png,ROI_OK,290,74,771,555,320,105,741,524,7790.2
transistor,train,good,004.png,ROI_OK,276,94,753,571,312,124,717,541,8055.4
transistor,train,good,005.png,ROI_OK,284,67,769,552,322,98,732,522,7998.1
transistor,train,good,006.png,ROI_OK,245,93,734,582,281,124,699,552,8274.6
transistor,train,good,007.png,ROI_OK,279,128,756,605,313,159,723,576,8334.4
transistor,train,good,008.png,ROI_OK,264,94,742,572,300,125,707,543,8103.9
transistor,train,good,009.png,ROI_OK,270,128,738,596,301,158,707,567,8050.7
transistor,train,good,010.png,ROI_OK,288,107,793,612,320,141,762,579,8064.8
transistor,train,good,011.png,ROI_OK,266,112,743,589,296,146,713,555,8041.5
transistor,train,good,012.png,ROI_OK,288,93,762,567,323,123,728,538,8049.3
transistor,train,good,013.png,ROI_OK,288,129,756,597,319,159,725,568,7936.9
transistor,train,good,014.png,ROI_OK,259,66,747,554,290,99,717,521,8315.6
transistor,train,good,015.png,ROI_OK,266,118,742,594,299,149,711,565,8171.9
transistor,train,good,016.png,ROI_OK,260,62,737,539,290,97,707,506,8169.3
transistor,train,good,017.png,ROI_OK,295,170,768,643,325,201,739,613,8150.6
transistor,train,good,018.png,ROI_OK,275,110,751,586,306,141,721,557,8092.1
transistor,train,good,019.png,ROI_OK,238,152,715,629,271,182,683,599,8350.5
transistor,train,good,020.png,ROI_OK,261,55,746,540,297,86,711,510,8279.5
transistor,train,good,021.png,ROI_OK,308,159,780,631,338,189,750,602,8183.5
transistor,train,good,022.png,ROI_OK,286,107,760,581,319,137,728,552,8274.5
transistor,train,good,023.png,ROI_OK,277,138,763,624,317,169,724,594,8106.5
transistor,train,good,024.png,ROI_OK,283,58,756,531,314,88,726,502,8220.1
transistor,train,good,025.png,ROI_OK,306,66,788,548,340,96,754,518,8406.0
transistor,train,good,026.png,ROI_OK,280,169,776,665,312,205,746,630,8023.9
transistor,train,good,027.png,ROI_OK,277,60,754,537,309,90,723,507,8110.0
transistor,train,good,028.png,ROI_OK,292,144,765,617,325,174,734,588,8041.2
transistor,train,good,029.png,ROI_OK,274,168,746,640,306,198,716,611,8031.2
transistor,train,good,030.png,ROI_OK,209,85,713,589,241,132,682,543,8210.1
transistor,train,good,031.png,ROI_OK,282,96,758,572,312,126,728,542,8431.9
transistor,train,good,032.png,ROI_OK,274,147,748,621,308,177,716,592,8387.4
transistor,train,good,033.png,ROI_OK,280,106,758,584,314,136,725,554,8257.7
transistor,train,good,034.png,ROI_OK,286,76,770,560,322,107,734,530,8119.9
transistor,train,good,035.png,ROI_OK,257,66,751,560,295,98,714,530,8289.3
transistor,train,good,036.png,ROI_OK,286,148,766,628,321,179,733,599,7996.8
transistor,train,good,037.png,ROI_OK,258,144,739,625,292,174,706,595,8058.3
transistor,train,good,038.png,ROI_OK,274,120,751,597,305,151,721,568,8132.9
transistor,train,good,039.png,ROI_OK,269,52,754,537,301,83,723,507,8272.4
transistor,train,good,040.png,ROI_OK,277,60,766,549,308,92,736,518,8264.4
transistor,train,good,041.png,ROI_OK,285,75,770,560,319,106,737,530,8228.2
transistor,train,good,042.png,ROI_OK,284,188,766,670,317,218,734,640,8277.8
transistor,train,good,043.png,ROI_OK,276,124,756,604,306,158,726,572,8398.7
transistor,train,good,044.png,ROI_OK,318,112,808,602,351,143,776,572,8105.2
transistor,train,good,045.png,ROI_OK,304,73,790,559,337,104,759,529,8537.3
transistor,train,good,046.png,ROI_OK,267,152,740,625,297,183,711,595,8220.8
transistor,train,good,047.png,ROI_OK,274,76,755,557,305,109,726,526,8110.6
transistor,train,good,048.png,ROI_OK,280,100,768,588,311,132,738,556,8206.0
transistor,train,good,049.png,ROI_OK,274,24,761,511,311,55,725,481,8112.1
transistor,train,good,050.png,ROI_OK,264,130,743,609,295,161,714,578,8114.5
transistor,train,good,051.png,ROI_OK,262,74,754,566,306,106,710,536,8185.5
transistor,train,good,052.png,ROI_OK,226,94,727,595,258,131,696,558,8210.8
transistor,train,good,053.png,ROI_OK,282,168,759,645,315,199,726,616,8258.2
transistor,train,good,054.png,ROI_OK,244,48,729,533,275,79,699,502,8134.5
transistor,train,good,055.png,ROI_OK,276,144,748,616,306,176,719,586,8054.3
transistor,train,good,056.png,ROI_OK,300,62,813,575,333,114,782,525,8215.2
transistor,train,good,057.png,ROI_OK,242,77,737,572,273,115,706,535,8028.4
transistor,train,good,058.png,ROI_OK,279,90,759,570,312,121,727,541,8318.2
transistor,train,good,059.png,ROI_OK,278,105,764,591,312,136,731,561,8218.7
transistor,train,good,060.png,ROI_OK,273,135,757,619,312,166,719,589,8112.7
transistor,train,good,061.png,ROI_OK,251,28,722,499,281,58,693,469,8293.5
transistor,train,good,062.png,ROI_OK,291,24,779,512,329,55,742,482,8269.3
transistor,train,good,063.png,ROI_OK,292,156,765,629,326,186,732,600,8150.3
